(Asia,{
(1826-05-01,15.162,1.3530000000000002,Asia),
(1826-06-01,19.025,1.528,Asia),
(1826-07-01,21.515,1.254,Asia),
(1826-08-01,19.035,1.234,Asia),
(1826-09-01,14.273,1.779,Asia),
(1826-10-01,7.204999999999999,1.805,Asia),
(1826-11-01,1.198,1.59,Asia),
(1826-12-01,-3.7030000000000003,2.286,Asia),
(1827-01-01,-5.779,2.68,Asia),
(1827-02-01,-4.088,1.808,Asia),
(1827-03-01,2.151,1.771,Asia),
(1827-04-01,8.953999999999997,2.5860000000000003,Asia),
(1827-05-01,15.01,1.986,Asia),
(1827-06-01,19.506,1.465,Asia),
(1827-07-01,21.725,1.223,Asia),
(1827-08-01,19.629,1.216,Asia),
(1827-09-01,13.953,1.143,Asia),
(1827-10-01,7.068999999999999,1.27,Asia),
(1827-11-01,1.0870000000000002,1.642,Asia),
(1827-12-01,-6.377000000000001,2.517,Asia),
(1828-01-01,-9.839,2.44,Asia),
(1828-02-01,-6.707000000000001,2.319,Asia),
(1828-03-01,1.275,2.07,Asia),
(1828-04-01,7.955999999999999,1.958,Asia),
(1828-05-01,14.380999999999998,1.816,Asia),
(1828-06-01,19.905,1.6980000000000002,Asia),
(1828-07-01,21.357,1.536,Asia),
(1828-08-01,19.555,1.604,Asia),
(1828-09-01,13.011,1.211,Asia),
(1828-10-01,7.450999999999999,1.4409999999999998,Asia),
(1828-11-01,0.39299999999999996,1.795,Asia),
(1828-12-01,-6.103,2.213,Asia),
(1829-01-01,-7.881,2.107,Asia),
(1829-02-01,-6.117000000000001,2.6710000000000003,Asia),
(1829-03-01,0.4340000000000001,1.794,Asia),
(1829-04-01,6.94,1.482,Asia),
(1829-05-01,14.327,2.105,Asia),
(1829-06-01,18.497,1.77,Asia),
(1829-07-01,21.352,1.327,Asia),
(1829-08-01,19.218,1.4069999999999998,Asia),
(1829-09-01,13.675,1.355,Asia),
(1829-10-01,7.6370000000000005,1.7009999999999998,Asia),
(1829-11-01,-0.35100000000000003,2.101,Asia),
(1829-12-01,-6.43,2.719,Asia),
(1830-01-01,-6.814,2.355,Asia),
(1830-02-01,-3.977,1.916,Asia),
(1830-03-01,-0.17399999999999993,1.709,Asia),
(1830-04-01,7.8660000000000005,1.461,Asia),
(1830-05-01,13.355,1.339,Asia),
(1830-06-01,18.654,1.635,Asia),
(1830-07-01,21.646,1.528,Asia),
(1830-08-01,19.304,1.461,Asia),
(1830-09-01,13.378,1.43,Asia),
(1830-10-01,6.390999999999999,1.774,Asia),
(1830-11-01,1.964,1.929,Asia),
(1830-12-01,-4.141,2.124,Asia),
(1831-01-01,-7.807,2.614,Asia),
(1831-02-01,-5.867999999999999,2.786,Asia),
(1831-03-01,-0.2270000000000001,2.075,Asia),
(1831-04-01,6.8599999999999985,1.3530000000000002,Asia),
(1831-05-01,13.963,1.842,Asia),
(1831-06-01,18.971,1.66,Asia),
(1831-07-01,20.324,1.409,Asia),
(1831-08-01,18.102999999999998,1.317,Asia),
(1831-09-01,12.855,1.324,Asia),
(1831-10-01,6.424999999999999,1.4169999999999998,Asia),
(1831-11-01,-1.596,2.5610000000000004,Asia),
(1831-12-01,-6.284,2.431,Asia),
(1832-01-01,-8.355,2.1590000000000003,Asia),
(1832-02-01,-5.532,2.045,Asia),
(1832-03-01,0.3150000000000001,1.982,Asia),
(1832-04-01,7.625,2.234,Asia),
(1832-05-01,13.737,1.5219999999999998,Asia),
(1832-06-01,18.340999999999998,1.444,Asia),
(1832-07-01,20.55,1.456,Asia),
(1832-08-01,17.840999999999998,1.272,Asia),
(1832-09-01,13.220999999999998,1.51,Asia),
(1832-10-01,7.491999999999999,1.831,Asia),
(1832-11-01,-1.436,1.739,Asia),
(1832-12-01,-8.111,2.885,Asia),
(1833-01-01,-7.772,2.212,Asia),
(1833-02-01,-5.183,1.668,Asia),
(1833-03-01,-0.5559999999999998,1.796,Asia),
(1833-04-01,6.959999999999999,1.483,Asia),
(1833-05-01,13.477,1.141,Asia),
(1833-06-01,18.726000000000006,1.09,Asia),
(1833-07-01,20.553,1.229,Asia),
(1833-08-01,18.799,1.4340000000000002,Asia),
(1833-09-01,14.07,1.155,Asia),
(1833-10-01,6.669,1.321,Asia),
(1833-11-01,1.67,1.651,Asia),
(1833-12-01,-5.816,2.113,Asia),
(1834-01-01,-9.96,1.7719999999999998,Asia),
(1834-02-01,-5.82,2.08,Asia),
(1834-03-01,1.735,1.6969999999999998,Asia),
(1834-04-01,7.3020000000000005,1.915,Asia),
(1834-05-01,14.48,1.122,Asia),
(1834-06-01,18.567,1.5490000000000002,Asia),
